b'location_id',b'location'
0,"Anchorage,AK"
1,"Soldotna,AK"
2,"Fairbanks,AK"
3,"Wasilla,AK"
4,"Sand Point,AK"
5,"Delta Junction,AK"
6,"Anchor Point,AK"
7,"North Pole,AK"
8,"Juneau,AK"
9,Anchorage/Eagle River 
10,"Big Lake,AK"
11,"Pelican,AK"
12,"Kotzebue,AK"
13,"Dillingham,AK"
14,"Kasilof,AK"
15,"Palmer,AK"
16,"Eagle River,AK"
17,"Nikiski,AK"
18,"Nome,AK"
19,"Butte,AK"
20,"Sitka,AK"
21,"Ketchikan,AK"
22,"Chugiak,AK"
23,"Ninilchik,AK"
24,"Bethel,AK"
25,"Homer,AK"
26,"Denali State Park,AK"
27,"Irving,AK"
28,"Kodiak,AK"
29,"Kenai,AK"
30,"Clam Gulch,AK"
31,"Ward Cove,AK"
32,"Talkitna,AK"
33,"Kuparuk,AK"
34,"Kuparuk Oilfield,AK"
35,Glenallen 
36,"Sterling,AK"
37,"Angoon,AK"
38,"Wasilla - Susitna Delta,AK"
39,"Tanacross,AK"
40,"Savoonga,AK"
41,"Willow,AK"
42,"Metlakatla,AK"
43,"Haines,AK"
44,Alaska cruise 
45,"Seward,AK"
46,"Hooper Bay,AK"
47,Craig 
48,North Kenai 
49,"Elk,AK"
50,"Prince William Sound,AK"
51,"Fort Greely,AK"
52,"Kaktovik,AK"
53,"Healy,AK"
54,"North of Pt. Barrow,AK"
55,"Venetie,AK"
56,Tok 
57,"Alaska,AK"
58,"Nunapitchuk,AK"
59,"Kenai Peninsula,AK"
60,"Slana,AK"
61,"Knik,AK"
62,"White Mountain,AK"
63,"Glennallen,AK"
64,Tracy Arm 
65,"Suriname,AK"
66,Susitna Lodge 
67,Rio de Janeiro 
68,"Ester,AK"
69,"College Fjord,AK"
70,"Wrangell,AK"
71,"St. George Island,AK"
72,"Council,AK"
73,"Rural Alaska community,AK"
74,"Iliamna,AK"
75,"Yakutat,AK"
76,"Inside Passage,AK"
77,"Talkeetna,AK"
78,"Wainwright,AK"
79,"Cordova,AK"
80,"Turnagain Pass,AK"
81,"Newhalen,AK"
82,"Nenana,AK"
83,"Petersburg,AK"
84,Misty Fjords National Park 
85,"Soldatna,AK"
86,Talkeetna 
87,Ketchikan 
88,Trapper Creek 
89,"Wacker City,AK"
90,Fairbanks 
91,"Copper Center,AK"
92,"Anchorage/Girdwood,AK"
93,"Auke Bay,AK"
94,Alaska 
95,"Adak,AK"
96,"Nikishi,AK"
97,"Mountain Village,AK"
98,"Birchwood,AK"
99,"Prince of Wales Island,AK"
100,"Cold Bay,AK"
101,Cantwell 
102,"Gustavus,AK"
103,Palmer 
104,"Savoonga, St. Lawrence Island,AK"
105,Perl Island 
106,"Sutton,AK"
107,"Douglas Island,AK"
108,"Teller,AK"
109,"Girdwood,AK"
110,"Ft. Richardson,AK"
111,"Elmendorf AFB,AK"
112,"Point Barrow,AK"
113,"Kodiak Island,AK"
114,"Ft. Yukon,AK"
115,"Fairbanks, Trans Alaskan Pipeline haul road 250 mi N of,AK"
116,"Nulato,AK"
117,Sitka 
118,"Valdez,AK"
119,Cook Inlet 
120,"Gula,AK"
121,"Kodiak Naval Station,AK"
122,"Northeast Cape AFS, St Lawrence Island,,AK"
123,"Northeast Cape AFS,AK"
124,Nelchina 
125,"Arctic,AK"
126,"Bering Sea,AK"
127,"Eklutna,AK"
128,"Vestavia,AL"
129,"Wetumpka,AL"
130,"Tuscaloosa,AL"
131,"Auburn,AL"
132,"Dothan,AL"
133,"Maycomb,AL"
134,"Summerdale,AL"
135,"Mobile,AL"
136,"Clio,AL"
137,"Phenix City,AL"
138,"Birmingham,AL"
139,"Huntsville,AL"
140,"Hartselle,AL"
141,"New Brockton,AL"
142,"Ozark,AL"
143,"Montgomery,AL"
144,"Alabaster,AL"
145,"Phil Campbell,AL"
146,"Cullman,AL"
147,"Odenville,AL"
148,"Foley,AL"
149,"Florence,AL"
150,"Athens,AL"
151,"Hanceville,AL"
152,"Toney,AL"
153,"Ashville,AL"
154,"Atmore,AL"
155,"Daphne,AL"
156,"Spanish Fort,AL"
157,"Chunchula,AL"
158,"Oxford,AL"
159,"Tanner,AL"
160,"Lisman,AL"
161,"Hoover,AL"
162,"Decatur,AL"
163,Tirana 
164,"Anniston,AL"
165,"Pelham,AL"
166,"Clements,AL"
167,"West Mobile,AL"
168,"Montevallo,AL"
169,"Clanton,AL"
170,"Phenix city,AL"
171,"Gadsden,AL"
172,Southwest UK 
173,"Harpersville,AL"
174,Dothan 
175,"Vance,AL"
176,"Hollywood,AL"
177,"Red Hill,AL"
178,"Eastaboba,AL"
179,"Fort Payne,AL"
180,"Vandiver,AL"
181,"Hamilton,AL"
182,"Rogersville,AL"
183,"Centre,AL"
184,"Wicksburg,AL"
185,"Stapleton,AL"
186,"Crane Hill,AL"
187,"Valley,AL"
188,"Waverly,AL"
189,"Thorsby,AL"
190,"Jones,AL"
191,"Littleville,AL"
192,"Tuscumbia,AL"
193,"Nanafalia,AL"
194,"Woodland,AL"
