state,year,population
AL,2010,4785492
AL,2011,4799918
AL,2012,4815960
AL,2013,4829479
AL,2014,4843214
AL,2015,4853875
AL,2016,4863300
AK,2010,714031
AK,2011,722713
AK,2012,731089
AK,2013,736879
AK,2014,736705
AK,2015,737709
AK,2016,741894
AZ,2010,6408312
AZ,2011,6467163
AZ,2012,6549634
AZ,2013,6624617
AZ,2014,6719993
AZ,2015,6817565
AZ,2016,6931071
AR,2010,2921995
AR,2011,2939493
AR,2012,2950685
AR,2013,2958663
AR,2014,2966912
AR,2015,2977853
AR,2016,2988248
CA,2010,37332685
CA,2011,37676861
CA,2012,38011074
CA,2013,38335203
CA,2014,38680810
CA,2015,38993940
CA,2016,39250017
CO,2010,5048644
CO,2011,5118360
CO,2012,5189867
CO,2013,5267603
CO,2014,5349648
CO,2015,5448819
CO,2016,5540545
CT,2010,3579899
CT,2011,3589893
CT,2012,3593795
CT,2013,3596003
CT,2014,3591873
CT,2015,3584730
CT,2016,3576452
DE,2010,899816
DE,2011,907924
DE,2012,916993
DE,2013,925395
DE,2014,934948
DE,2015,944076
DE,2016,952065
DC,2010,605183
DC,2011,620477
DC,2012,635327
DC,2013,649165
DC,2014,659005
DC,2015,670377
DC,2016,681170
FL,2010,18849098
FL,2011,19096952
FL,2012,19344156
FL,2013,19582022
FL,2014,19888741
FL,2015,20244914
FL,2016,20612439
GA,2010,9713521
GA,2011,9811610
GA,2012,9914668
GA,2013,9984938
GA,2014,10087231
GA,2015,10199398
GA,2016,10310371
HI,2010,1363945
HI,2011,1377864
HI,2012,1391820
HI,2013,1406481
HI,2014,1416349
HI,2015,1425157
HI,2016,1428557
ID,2010,1571010
ID,2011,1584143
ID,2012,1595911
ID,2013,1612011
ID,2014,1633532
ID,2015,1652828
ID,2016,1683140
IL,2010,12841578
IL,2011,12860012
IL,2012,12870798
IL,2013,12879505
IL,2014,12867544
IL,2015,12839047
IL,2016,12801539
IN,2010,6490528
IN,2011,6516480
IN,2012,6537743
IN,2013,6569102
IN,2014,6595233
IN,2015,6612768
IN,2016,6633053
IA,2010,3050738
IA,2011,3065223
IA,2012,3076310
IA,2013,3091930
IA,2014,3108030
IA,2015,3121997
IA,2016,3134693
KS,2010,2858850
KS,2011,2869503
KS,2012,2885262
KS,2013,2892821
