b'basic information',b'description'
"b'COLOR=#000000><CAPTION><B>National UFO Reporting Center</B></CAPTION></FONT>\\r\\n\\r\\n<THEAD>\\r\\n<TR>\\r\\n<TH BGCOLOR=#c0c0c0 BORDERCOLOR=#000000 ><FONT style=FONT-SIZE:11pt FACE=""Calibri"" COLOR=#000000>Sighting Report</FONT></TH>\\r\\n\\r\\n</TR>\\r\\n</THEAD>\\r\\n<TBODY>\\r\\n<TR VALIGN=TOP>\\r\\n<TD BORDERCOLOR=#d0d7e5 ><FONT style=FONT-SIZE:11pt FACE=""Calibri"" COLOR=#000000>Occurred : 2/22/2017 19:30  (Entered as : 02/22/17 19:30)<BR>Reported: 2/22/2017 5:42:40 PM 17:42<BR>Posted: 2/22/2017<BR>Location: Swanville, ME<BR>Shape: Light<BR>Duration:45 minutes</FONT></TD>'","b""COLOR=#000000>Bright pulsating white light brighter than Venus in vicinity of Swanville, Maine.<BR><BR>Spouse and I saw white light that was brighter than a star and got alternatively brighter and dimmer.  This caught our attention and we watched it for roughly 30 minutes until it drifted below the tree line.  The light was at times notably brighter than Venus.  The light appeared to move eratically and randomly in a jerky manner.  Don\\'t know what it was but pretty confident it was not a star or planet.  When it moved over the horizon I got the sense it was moving away from me in a direction northeast from Swanville, Maine.<BR><BR><BR>((NUFORC Note:  Witness elects to remain totally anonymous; provides no contact information.  PD))</FONT></TD>"""
"b'COLOR=#000000><CAPTION><B>National UFO Reporting Center</B></CAPTION></FONT>\\r\\n\\r\\n<THEAD>\\r\\n<TR>\\r\\n<TH BGCOLOR=#c0c0c0 BORDERCOLOR=#000000 ><FONT style=FONT-SIZE:11pt FACE=""Calibri"" COLOR=#000000>Sighting Report</FONT></TH>\\r\\n\\r\\n</TR>\\r\\n</THEAD>\\r\\n<TBODY>\\r\\n<TR VALIGN=TOP>\\r\\n<TD BORDERCOLOR=#d0d7e5 ><FONT style=FONT-SIZE:11pt FACE=""Calibri"" COLOR=#000000>Occurred : 2/21/2017 19:00  (Entered as : 02/21/2017 19:00)<BR>Reported: 2/21/2017 6:00:57 PM 18:00<BR>Posted: 2/22/2017<BR>Location: Simpsonville, SC<BR>Shape: Oval<BR>Duration:1-2 minutes</FONT></TD>'","b'COLOR=#000000>A pulsing green orb seen by a motorist as it arced across the sky.<BR><BR>A large pulsing green oval traveled across the sky in an arcing trajectory in a horizontal direction.  The object was lower than the typical altitude of a plane, but higher than the tree line.  The object moved at relatively fast pace towards the north.  I slowed my vehicle to try and track the object, but it had already accelerated out of sight.</FONT></TD>'"
"b'COLOR=#000000><CAPTION><B>National UFO Reporting Center</B></CAPTION></FONT>\\r\\n\\r\\n<THEAD>\\r\\n<TR>\\r\\n<TH BGCOLOR=#c0c0c0 BORDERCOLOR=#000000 ><FONT style=FONT-SIZE:11pt FACE=""Calibri"" COLOR=#000000>Sighting Report</FONT></TH>\\r\\n\\r\\n</TR>\\r\\n</THEAD>\\r\\n<TBODY>\\r\\n<TR VALIGN=TOP>\\r\\n<TD BORDERCOLOR=#d0d7e5 ><FONT style=FONT-SIZE:11pt FACE=""Calibri"" COLOR=#000000>Occurred : 2/21/2017 19:00  (Entered as : 2/21/17 19:00)<BR>Reported: 2/21/2017 7:47:20 PM 19:47<BR>Posted: 2/22/2017<BR>Location: Nederland, CO<BR>Shape: Fireball<BR>Duration:unknown</FONT></TD>'","b'COLOR=#000000>Orange fireballs, Bright, Scoping the forest.<BR><BR>Strange orange orbs seen floating above boulder.  Several orbs of light lighting up the forest like a giant flashlight.  There were at least 10 of them.  All scattered around the mountainsides and valleys.  They behaved like giant search lights scoping the forests.<BR><BR><BR>((NUFORC Note:  Witness elects to remain totally anonymous; provides no contact information.  PD))</FONT></TD>'"
"b'COLOR=#000000><CAPTION><B>National UFO Reporting Center</B></CAPTION></FONT>\\r\\n\\r\\n<THEAD>\\r\\n<TR>\\r\\n<TH BGCOLOR=#c0c0c0 BORDERCOLOR=#000000 ><FONT style=FONT-SIZE:11pt FACE=""Calibri"" COLOR=#000000>Sighting Report</FONT></TH>\\r\\n\\r\\n</TR>\\r\\n</THEAD>\\r\\n<TBODY>\\r\\n<TR VALIGN=TOP>\\r\\n<TD BORDERCOLOR=#d0d7e5 ><FONT style=FONT-SIZE:11pt FACE=""Calibri"" COLOR=#000000>Occurred : 2/21/2017 11:15  (Entered as : 2/21/2017 11:15)<BR>Reported: 2/21/2017 11:50:39 AM 11:50<BR>Posted: 2/22/2017<BR>Location: Peoria, AZ<BR>Shape: Formation<BR>Duration:10 minutes</FONT></TD>'","b""COLOR=#000000>Fluid formation flying disks.<BR><BR>My sister and I initially thought we were witnessing a bird migration, but the elevation was too high to be birds.  We then witnessed what looked like 10 circular craft, that were light in color, possible light silver or white, and were reflective, begin moving in a fluid formation that was like nothing we have ever witnessed.  They bobbed and weaved within one another so fluidity that we were sure we couldn\\'t be witnessing anything man made.  They flew in this fluid formation for 10 minutes then completely disappeared.  There were no clouds in the sky for them to disappear into, and it was perfect weather with very little wind.  My sister and I were driving north on our way home from running errands and we turned west and watched them until they disappeared.  When we arrived home, we saw fighter jets flying around our area.</FONT></TD>"""
"b'COLOR=#000000><CAPTION><B>National UFO Reporting Center</B></CAPTION></FONT>\\r\\n\\r\\n<THEAD>\\r\\n<TR>\\r\\n<TH BGCOLOR=#c0c0c0 BORDERCOLOR=#000000 ><FONT style=FONT-SIZE:11pt FACE=""Calibri"" COLOR=#000000>Sighting Report</FONT></TH>\\r\\n\\r\\n</TR>\\r\\n</THEAD>\\r\\n<TBODY>\\r\\n<TR VALIGN=TOP>\\r\\n<TD BORDERCOLOR=#d0d7e5 ><FONT style=FONT-SIZE:11pt FACE=""Calibri"" COLOR=#000000>Occurred : 2/21/2017 07:00  (Entered as : 2/21/17 7:00)<BR>Reported: 2/21/2017 7:19:34 PM 19:19<BR>Posted: 2/22/2017<BR>Location: Basehor, KS<BR>Shape: Light<BR>Duration:2.3 hours</FONT></TD>'","b'COLOR=#000000>There was a bright light at least 10 times the brightness of a typical star hovering in one spot for over 2 hours.  Then, it vanished.</FONT></TD>'"
"b'COLOR=#000000><CAPTION><B>National UFO Reporting Center</B></CAPTION></FONT>\\r\\n\\r\\n<THEAD>\\r\\n<TR>\\r\\n<TH BGCOLOR=#c0c0c0 BORDERCOLOR=#000000 ><FONT style=FONT-SIZE:11pt FACE=""Calibri"" COLOR=#000000>Sighting Report</FONT></TH>\\r\\n\\r\\n</TR>\\r\\n</THEAD>\\r\\n<TBODY>\\r\\n<TR VALIGN=TOP>\\r\\n<TD BORDERCOLOR=#d0d7e5 ><FONT style=FONT-SIZE:11pt FACE=""Calibri"" COLOR=#000000>Occurred : 2/20/2017 22:00  (Entered as : 02/20/17 22:00)<BR>Reported: 2/20/2017 11:04:59 PM 23:04<BR>Posted: 2/22/2017<BR>Location: San Pablo, CA<BR>Shape: <BR>Duration:1 seconds</FONT></TD>'","b'COLOR=#000000>Bright blue flash lit up sky, yard, whole back meadow, giant eucalyptus and oaks like it was daytime, but silent.<BR><BR>bright blue flash of light in northern and western sky like very nearby lightning but no sound except crazy loud wind gust.  Conditions are partly cloudy, bright stars, showers, windy.  I have seen a lifetime of midwest lightning displays, never saw this bright blue color or that intense of a flash with no loud crack right behind.  Our dogs are not afraid of thunder, wind or lightning, but they ran back to door to be let in and were nervous.<BR><BR><BR>((NUFORC Note:  Witness elects to remain totally anonymous; provides no contact information.  PD))</FONT></TD>'"
"b'COLOR=#000000><CAPTION><B>National UFO Reporting Center</B></CAPTION></FONT>\\r\\n\\r\\n<THEAD>\\r\\n<TR>\\r\\n<TH BGCOLOR=#c0c0c0 BORDERCOLOR=#000000 ><FONT style=FONT-SIZE:11pt FACE=""Calibri"" COLOR=#000000>Sighting Report</FONT></TH>\\r\\n\\r\\n</TR>\\r\\n</THEAD>\\r\\n<TBODY>\\r\\n<TR VALIGN=TOP>\\r\\n<TD BORDERCOLOR=#d0d7e5 ><FONT style=FONT-SIZE:11pt FACE=""Calibri"" COLOR=#000000>Occurred : 2/20/2017 21:30  (Entered as : 2/20/17 21:30)<BR>Reported: 2/21/2017 1:54:25 PM 13:54<BR>Posted: 2/22/2017<BR>Location: Roswell, GA<BR>Shape: Oval<BR>Duration:10 minutes</FONT></TD>'","b""COLOR=#000000>1 oval fairly quick moving object that was lighted that looked circular in the video<BR><BR>FEB 20th, I was traveling on POST OAK TRITT RD in Roswell GA at 9:30 pm and in the same area I&#8217;d seen this lighted flying object before, I saw it dart to the north of my car over some trees.  there was another companion, but it was too far to the left of my car up in the sky and I could only visually track 1 object.  I pulled my car into the tennis courts of my subdivision, up on a hill and watched until it came back into view.  I have a video of it.  it looks oval in the sky but on video more round. white illumination.  Hard to tell at night the size of this.  I\\'d say it was 1000 ft. up in the sky.  It was dark.<BR><BR>Lasted for about 10 min.<BR><BR>This is the third time I\\'ve seen this phenom.  The last time was off of highway 120 which is abut 2 miles from this area.<BR><BR>I\\'ll be happy to send an email.</FONT></TD>"""
"b'COLOR=#000000><CAPTION><B>National UFO Reporting Center</B></CAPTION></FONT>\\r\\n\\r\\n<THEAD>\\r\\n<TR>\\r\\n<TH BGCOLOR=#c0c0c0 BORDERCOLOR=#000000 ><FONT style=FONT-SIZE:11pt FACE=""Calibri"" COLOR=#000000>Sighting Report</FONT></TH>\\r\\n\\r\\n</TR>\\r\\n</THEAD>\\r\\n<TBODY>\\r\\n<TR VALIGN=TOP>\\r\\n<TD BORDERCOLOR=#d0d7e5 ><FONT style=FONT-SIZE:11pt FACE=""Calibri"" COLOR=#000000>Occurred : 2/20/2017 21:00  (Entered as : 02/20/2017 21:00)<BR>Reported: 2/20/2017 10:48:32 PM 22:48<BR>Posted: 2/22/2017<BR>Location: Tucson, AZ<BR>Shape: Light<BR>Duration:25 minutes</FONT></TD>'","b'COLOR=#000000>My sister and I were driving from Tucson to Sierra Vista tonight.  Right near the Sanoita/Patagonia exit going east on I-0 we noticed a bright light in the sky,  It was hovering and bobbing.  The light was getting dimmer and brighter.  We continued to watch it and finally pulled off on Lenzer Rd. in Sierra Vista.  We smoked a cigarette and watched it until it very suddenly disappeared.  Pretty cool and we got a few photos.  It was definitely not an airplane or anything like that, there is no way.  It was in the same spot relatively for over 25 minutes and was pretty low in altitude also.</FONT></TD>'"
"b'COLOR=#000000><CAPTION><B>National UFO Reporting Center</B></CAPTION></FONT>\\r\\n\\r\\n<THEAD>\\r\\n<TR>\\r\\n<TH BGCOLOR=#c0c0c0 BORDERCOLOR=#000000 ><FONT style=FONT-SIZE:11pt FACE=""Calibri"" COLOR=#000000>Sighting Report</FONT></TH>\\r\\n\\r\\n</TR>\\r\\n</THEAD>\\r\\n<TBODY>\\r\\n<TR VALIGN=TOP>\\r\\n<TD BORDERCOLOR=#d0d7e5 ><FONT style=FONT-SIZE:11pt FACE=""Calibri"" COLOR=#000000>Occurred : 2/20/2017 21:00  (Entered as : 0222017 21:00)<BR>Reported: 2/21/2017 10:29:36 PM 22:29<BR>Posted: 2/22/2017<BR>Location: Stacy, MN<BR>Shape: Circle<BR>Duration:30</FONT></TD>'",b'COLOR=#000000>I was driving to our new house with a load of stuff and maintained the same schedule two nights in a row.  Both nights Feb 19th and Feb 20th.  I saw an enormous glowing light in the same location.  It was not blinking.  Other aircrafts were in the sky and there blinking lights seemed tiny compared to it.  The light went from a bright yellowish white glow to a green hue. Both nights it seemed to almost follow me.  It managed to stay in view all the way home to Coon Rapids.  How has no one reported it.  It appears to be stationary and switches from a green hue to a bright white and appears twice the size of planes around it.   My girlfriend had a migraine and was not amused by my excitement.</FONT></TD>'
"b'COLOR=#000000><CAPTION><B>National UFO Reporting Center</B></CAPTION></FONT>\\r\\n\\r\\n<THEAD>\\r\\n<TR>\\r\\n<TH BGCOLOR=#c0c0c0 BORDERCOLOR=#000000 ><FONT style=FONT-SIZE:11pt FACE=""Calibri"" COLOR=#000000>Sighting Report</FONT></TH>\\r\\n\\r\\n</TR>\\r\\n</THEAD>\\r\\n<TBODY>\\r\\n<TR VALIGN=TOP>\\r\\n<TD BORDERCOLOR=#d0d7e5 ><FONT style=FONT-SIZE:11pt FACE=""Calibri"" COLOR=#000000>Occurred : 2/20/2017 20:50  (Entered as : 02/20/2017 20:50)<BR>Reported: 2/20/2017 6:29:47 PM 18:29<BR>Posted: 2/22/2017<BR>Location: Porter township, PA<BR>Shape: Light<BR>Duration:20 minutes</FONT></TD>'","b'COLOR=#000000>Bright light hovering, thought it was a planet but then it moved after 15 minutes.</FONT></TD>'"
